window_index,window_start_seconds,window_end_seconds,mean_pitch,mean_intensity,number_of_periods,fraction_of_unvoiced,number_of_voice_breaks,jitter_local,shimmer_local,mean_autocorrelation,mean_nhr,musk_dominant
0,0,300,118.5577,63.5114,11351,0.6674,857,0.029297,0.152108,0.866828,0.153631,True
1,300,600,123.6115,65.6342,16491,0.5418,916,0.028602,0.147292,0.88158,0.134327,True
2,600,900,132.8725,67.0928,20678,0.4703,891,0.026128,0.134066,0.892022,0.121049,True
3,900,1200,127.9206,66.0441,15970,0.5718,829,0.0272,0.141071,0.899185,0.112118,True
4,1200,1500,124.7646,66.5369,17101,0.527,947,0.026131,0.136834,0.895601,0.116569,True
5,1500,1800,128.1961,65.636,13955,0.6252,831,0.026561,0.135723,0.894594,0.117826,True
