window_index,window_start_seconds,window_end_seconds,mean_pitch,mean_intensity,number_of_periods,fraction_of_unvoiced,number_of_voice_breaks,jitter_local,shimmer_local,mean_autocorrelation,mean_nhr,musk_dominant
0,0,300,129.2956,64.1007,18603,0.4992,1037,0.031899,0.145227,0.91801,0.089313,True
1,300,600,146.6884,63.3578,16098,0.6059,1030,0.033766,0.158834,0.870967,0.148149,True
2,600,900,146.304,63.2335,14936,0.6332,1172,0.036684,0.164634,0.838338,0.192836,True
3,900,1200,146.1968,62.5558,13940,0.6607,1067,0.033144,0.167424,0.834742,0.197975,True
4,1200,1500,130.0202,63.8976,16857,0.5483,972,0.029692,0.153561,0.886614,0.127886,True
5,1500,1800,138.0048,64.5476,18220,0.5387,1054,0.030634,0.165399,0.88007,0.136273,True
6,1800,2100,144.3477,63.6009,15703,0.613,926,0.029397,0.154554,0.867899,0.152207,True
7,2100,2400,143.8585,63.4161,15110,0.6247,964,0.031559,0.161529,0.863313,0.158329,True
8,2400,2700,143.3713,62.8002,12692,0.684,983,0.032856,0.162485,0.822718,0.215483,True
