window_index,window_start_seconds,window_end_seconds,mean_pitch,mean_intensity,number_of_periods,fraction_of_unvoiced,number_of_voice_breaks,jitter_local,shimmer_local,mean_autocorrelation,mean_nhr,musk_dominant
0,0,300,125.6346,61.0519,11776,0.6718,772,0.02452,0.133853,0.790806,0.264533,True
1,300,600,125.643,57.0442,12323,0.6527,764,0.026833,0.137337,0.853727,0.171335,True
2,600,900,117.6855,57.2246,11301,0.6656,720,0.024245,0.129121,0.888804,0.125107,True
3,900,1200,121.5633,57.3036,13061,0.622,783,0.026296,0.138114,0.832976,0.200515,True
4,1200,1500,139.4898,57.2496,13080,0.6677,778,0.028109,0.144277,0.86553,0.155362,True
5,1500,1800,123.5906,56.6527,13312,0.623,798,0.026583,0.137184,0.854678,0.170031,True
