window_index,window_start_seconds,window_end_seconds,mean_pitch,mean_intensity,number_of_periods,fraction_of_unvoiced,number_of_voice_breaks,jitter_local,shimmer_local,mean_autocorrelation,mean_nhr,musk_dominant
0,0,300,139.0406,68.0202,15804,0.598,1065,0.030063,0.165936,0.904687,0.105355,True
1,300,600,187.4887,66.7916,16520,0.6732,1071,0.038181,0.200363,0.858339,0.165041,True
2,600,900,170.1129,66.9922,18163,0.6118,1148,0.035283,0.191982,0.864284,0.157027,True
3,900,1200,187.2429,66.3096,16599,0.6708,1033,0.037192,0.200745,0.842274,0.187262,True
4,1200,1500,182.9142,66.8699,18438,0.6312,1031,0.037386,0.187692,0.869626,0.14992,True
5,1500,1800,192.3324,65.9729,16698,0.678,949,0.037787,0.199974,0.864161,0.157191,True
6,1800,2100,179.5661,66.5581,18620,0.6238,1037,0.033924,0.183638,0.851443,0.174477,True
7,2100,2400,186.4673,66.536,20669,0.6026,1172,0.037415,0.186237,0.852434,0.173112,True
8,2400,2700,170.9332,66.4114,21221,0.5563,1076,0.032558,0.186741,0.828564,0.206908,True
