window_index,window_start_seconds,window_end_seconds,mean_pitch,mean_intensity,number_of_periods,fraction_of_unvoiced,number_of_voice_breaks,jitter_local,shimmer_local,mean_autocorrelation,mean_nhr,musk_dominant
0,0,300,130.1837,72.5232,13463,0.6332,898,0.029912,0.155636,0.897386,0.114347,True
1,300,600,136.1768,75.3327,16610,0.5693,839,0.03379,0.156902,0.898083,0.113483,True
2,600,900,146.7276,72.5877,20076,0.5277,809,0.027494,0.131454,0.941607,0.062015,True
3,900,1200,142.2967,71.0727,16419,0.5959,857,0.027433,0.140974,0.929081,0.076332,True
4,1200,1500,139.8538,69.9989,14556,0.6312,959,0.032894,0.150213,0.906075,0.103662,True
5,1500,1800,142.8321,70.8919,17247,0.5718,1061,0.032358,0.154665,0.908306,0.100951,True
6,1800,2100,132.5651,69.7618,14037,0.6239,904,0.031302,0.1506,0.900265,0.110784,True
