window_index,window_start_seconds,window_end_seconds,mean_pitch,mean_intensity,number_of_periods,fraction_of_unvoiced,number_of_voice_breaks,jitter_local,shimmer_local,mean_autocorrelation,mean_nhr,musk_dominant
0,0,300,156.6861,69.2558,18270,0.5818,1053,0.028564,0.152379,0.932534,0.072347,True
1,300,600,175.544,68.1646,18878,0.6064,1076,0.032735,0.176123,0.916425,0.091197,True
2,600,900,158.15,69.5394,17336,0.6071,1030,0.030693,0.174103,0.905141,0.104801,True
3,900,1200,188.7751,68.8805,18483,0.6407,1098,0.036049,0.187555,0.87688,0.140406,True
4,1200,1500,157.4162,69.7875,20191,0.5419,1148,0.031098,0.166945,0.914767,0.093174,True
