total_revenue,gross_profit,operating_income,net_income,eps_basic,eps_diluted,fy,units,gross_margin_pct,total_revenue_yoy_pct,net_income_yoy_pct,operating_income_yoy_pct,gross_margin_pct_yoy_pct,eps_diluted_yoy_pct
31536.0,6630.0,,721.0,,,2020,USD millions,21.02,,,,,
53823.0,13606.0,,5644.0,,,2021,USD millions,25.28,70.7,682.8,,20.3,
81462.0,20853.0,13656.0,12587.0,,,2022,USD millions,25.6,51.4,123.0,,1.3,
96773.0,17660.0,8891.0,14974.0,,,2023,USD millions,18.25,18.8,19.0,-34.9,-28.7,
