window_index,window_start_seconds,window_end_seconds,mean_pitch,mean_intensity,number_of_periods,fraction_of_unvoiced,number_of_voice_breaks,jitter_local,shimmer_local,mean_autocorrelation,mean_nhr,musk_dominant
0,0,300,149.1594,73.4674,16666,0.5988,1046,0.032778,0.175175,0.901357,0.109439,True
1,300,600,179.2135,73.949,21795,0.5553,1232,0.036605,0.192166,0.888312,0.12573,True
2,600,900,179.8768,73.9403,22345,0.5432,1235,0.036608,0.192289,0.892047,0.121017,True
3,900,1200,148.5615,73.7978,18863,0.5492,1051,0.029993,0.173107,0.909675,0.099294,True
4,1200,1500,141.6099,73.473,19167,0.5221,972,0.032809,0.165301,0.906548,0.103086,True
5,1500,1800,152.5328,73.2928,19950,0.5316,1101,0.034723,0.171969,0.906853,0.102714,True
6,1800,2100,155.942,73.2064,18887,0.5631,1067,0.032578,0.179013,0.906871,0.102693,True
7,2100,2400,165.8974,72.4591,17148,0.6239,961,0.032611,0.177171,0.89541,0.116807,True
8,2400,2700,182.6573,72.8971,22804,0.5517,1160,0.034104,0.191748,0.840348,0.189983,True
9,2700,3000,164.1938,73.2125,22527,0.5066,1168,0.033873,0.182456,0.888694,0.125247,True
