window_index,window_start_seconds,window_end_seconds,mean_pitch,mean_intensity,number_of_periods,fraction_of_unvoiced,number_of_voice_breaks,jitter_local,shimmer_local,mean_autocorrelation,mean_nhr,musk_dominant
0,0,300,125.1255,66.8951,16715,0.5373,916,0.029658,0.170021,0.853399,0.171785,True
1,300,600,108.9384,64.8758,12790,0.5903,905,0.030271,0.178563,0.827461,0.208517,True
2,600,900,150.6894,65.5848,23324,0.4719,723,0.026051,0.152151,0.901363,0.10943,True
3,900,1200,119.045,64.648,15630,0.5466,920,0.026632,0.152094,0.86287,0.158924,True
4,1200,1500,132.895,62.4963,19879,0.4857,811,0.028499,0.156848,0.881172,0.134852,True
5,1500,1800,136.4767,62.4022,19935,0.4988,809,0.026847,0.162462,0.871585,0.147335,True
6,1800,2100,138.9038,63.235,18564,0.5392,803,0.02877,0.161209,0.874396,0.143647,True
