total_revenue,gross_profit,operating_income,net_income,eps_basic,eps_diluted,fy,units,gross_margin_pct,total_revenue_yoy_pct,net_income_yoy_pct,operating_income_yoy_pct,gross_margin_pct_yoy_pct,eps_diluted_yoy_pct,total_revenue_unavailable,gross_profit_unavailable,operating_income_unavailable,net_income_unavailable,eps_basic_unavailable,eps_diluted_unavailable,fy_unavailable,units_unavailable,gross_margin_pct_unavailable,total_revenue_yoy_pct_unavailable,net_income_yoy_pct_unavailable,operating_income_yoy_pct_unavailable,gross_margin_pct_yoy_pct_unavailable,eps_diluted_yoy_pct_unavailable
31536.0,6630.0,,721.0,,,2020,USD millions,21.02,,,,,,False,False,True,False,True,True,False,False,False,True,True,True,True,True
53823.0,13606.0,,5644.0,,,2021,USD millions,25.28,70.7,682.8,,20.3,,False,False,True,False,True,True,False,False,False,False,False,True,False,True
81462.0,20853.0,13656.0,12587.0,,,2022,USD millions,25.6,51.4,123.0,,1.3,,False,False,False,False,True,True,False,False,False,False,False,True,False,True
96773.0,17660.0,8891.0,14974.0,,,2023,USD millions,18.25,18.8,19.0,-34.9,-28.7,,False,False,False,False,True,True,False,False,False,False,False,False,False,True
