window_index,window_start_seconds,window_end_seconds,mean_pitch,mean_intensity,number_of_periods,fraction_of_unvoiced,number_of_voice_breaks,jitter_local,shimmer_local,mean_autocorrelation,mean_nhr,musk_dominant
0,0,300,163.0235,61.4347,18703,0.5841,1127,0.034625,0.188391,0.829895,0.204972,True
1,300,600,181.3777,60.5404,15406,0.6873,976,0.039028,0.197243,0.835058,0.197521,True
2,600,900,144.7883,61.3142,16492,0.5922,1050,0.031896,0.174653,0.869707,0.149813,True
3,900,1200,134.7961,60.9692,14967,0.6071,922,0.031648,0.166913,0.86978,0.149716,True
4,1200,1500,194.5522,61.2506,17822,0.6679,966,0.039075,0.193115,0.838003,0.193313,True
5,1500,1800,178.7546,61.7598,19383,0.6051,1074,0.038215,0.196631,0.845493,0.182742,True
6,1800,2100,182.3069,60.7947,15893,0.679,988,0.039132,0.19433,0.817719,0.222915,True
7,2100,2400,169.5145,61.7086,19326,0.5908,1098,0.035207,0.186423,0.801364,0.247873,True
