window_index,window_start_seconds,window_end_seconds,mean_pitch,mean_intensity,number_of_periods,fraction_of_unvoiced,number_of_voice_breaks,jitter_local,shimmer_local,mean_autocorrelation,mean_nhr,musk_dominant
0,0,300,131.6554,69.078,21579,0.4386,1065,0.031425,0.124016,0.918746,0.08844,False
1,300,600,116.5252,69.3359,18151,0.4693,1049,0.03572,0.104707,0.924245,0.081965,False
2,600,900,120.5181,68.861,18310,0.4793,904,0.03115,0.118886,0.905927,0.103842,False
3,900,1200,121.9493,67.9369,15961,0.5539,844,0.029726,0.114544,0.922893,0.08355,False
4,1200,1500,118.6376,68.4239,17197,0.506,923,0.029399,0.111297,0.936845,0.067412,False
5,1500,1800,130.598,69.0586,21127,0.4457,950,0.027798,0.117657,0.93378,0.070916,False
6,1800,2100,124.9483,68.3165,17587,0.5178,992,0.029639,0.113513,0.921074,0.085689,False
