window_index,window_start_seconds,window_end_seconds,mean_pitch,mean_intensity,number_of_periods,fraction_of_unvoiced,number_of_voice_breaks,jitter_local,shimmer_local,mean_autocorrelation,mean_nhr,musk_dominant
0,0,300,115.3818,69.8336,12436,0.6276,961,0.026168,0.162896,0.864808,0.156326,True
1,300,600,116.6736,70.0855,14110,0.5838,1053,0.026347,0.160131,0.856379,0.167707,True
2,600,900,122.6707,70.1781,16117,0.5516,915,0.022611,0.139918,0.893196,0.119575,True
3,900,1200,123.7851,69.3468,13642,0.6194,883,0.026924,0.143314,0.886107,0.128532,True
4,1200,1500,124.7266,70.1386,14755,0.594,915,0.025456,0.132908,0.906885,0.102676,True
5,1500,1800,126.5857,69.5153,13299,0.6344,944,0.027629,0.153722,0.883133,0.132332,True
6,1800,2100,140.932,70.054,16931,0.5863,860,0.025784,0.139843,0.902324,0.10825,True
7,2100,2400,118.0088,69.2037,13482,0.6079,926,0.025331,0.158656,0.872004,0.146783,True
8,2400,2700,123.3451,70.0033,14423,0.5988,884,0.024778,0.142489,0.90647,0.10318,True
