window_index,window_start_seconds,window_end_seconds,mean_pitch,mean_intensity,number_of_periods,fraction_of_unvoiced,number_of_voice_breaks,jitter_local,shimmer_local,mean_autocorrelation,mean_nhr,musk_dominant
0,0,300,122.1393,68.3197,10834,0.6922,780,0.026113,0.13917,0.902528,0.107999,True
1,300,600,122.726,68.5548,11330,0.68,878,0.026814,0.1424,0.905611,0.104226,True
2,600,900,135.4789,69.2478,14089,0.6403,972,0.029469,0.149969,0.902026,0.108615,True
3,900,1200,122.79,68.1129,13950,0.6109,918,0.026744,0.112289,0.943396,0.060001,True
4,1200,1500,128.662,67.6833,15329,0.5942,881,0.021492,0.130646,0.918823,0.088349,True
5,1500,1800,137.2157,68.5397,13595,0.6567,924,0.027118,0.146029,0.899346,0.111919,True
6,1800,2100,144.8061,68.8104,14607,0.6503,841,0.02644,0.141229,0.914815,0.093117,True
7,2100,2400,137.3974,68.4214,15489,0.6087,902,0.025087,0.144218,0.916961,0.090559,True
8,2400,2700,121.6022,67.4874,14559,0.5919,846,0.024734,0.107258,0.95364,0.048614,True
