window_index,window_start_seconds,window_end_seconds,mean_pitch,mean_intensity,number_of_periods,fraction_of_unvoiced,number_of_voice_breaks,jitter_local,shimmer_local,mean_autocorrelation,mean_nhr,musk_dominant
0,0,300,111.7011,70.6279,14683,0.5497,920,0.024162,0.153453,0.908277,0.100985,True
1,300,600,116.9428,69.7234,13786,0.5948,866,0.026055,0.145391,0.907275,0.102201,True
2,600,900,128.0073,70.6764,18184,0.5143,858,0.024841,0.151618,0.916495,0.091114,True
3,900,1200,128.1352,70.1984,16171,0.5613,923,0.027634,0.164952,0.897938,0.113663,True
4,1200,1500,123.9438,70.3166,15950,0.5632,775,0.022535,0.135372,0.933273,0.071497,True
